,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,ppi
284,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,3,105180,0,1,141
285,Acer,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.15,72885,1,1,141
286,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.95,121328,0,1,141
287,Asus,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.7,108056,0,0,141
288,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,130397,0,1,141
289,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.2,72885,0,0,141
290,Acer,Notebook,Other Intel Processor,2,Intel HD,Other Os_system,2.19,22009,0,0,100
291,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3,131282,0,0,127
292,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.54,54083,0,0,106
293,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2,202287,0,0,141
294,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.05,81733,0,0,141
295,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.2,143669,0,1,141
296,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Other Os_system,2.5,108277,0,0,141
297,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,3.42,318970,0,0,127
298,Lenovo,Notebook,AMD-A-Series,6,AMD Radeon,Windows 10,2.4,55189,0,0,141
299,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.63,162360,0,0,141
300,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.3,56295,0,0,112
301,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,234693,0,0,127
302,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,71779,0,0,106
303,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,60719,0,0,100
304,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,139909,0,0,141
305,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,39705,0,0,100
306,HP,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.28,218435,1,0,166
307,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,115355,0,1,141
308,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,90581,0,0,141
309,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,51871,0,0,141
310,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.1,110489,0,1,166
311,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.21,276389,1,1,331
312,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,232149,0,1,141
313,Acer,Notebook,AMD-A-Series,8,AMD Radeon,Windows 10,2.23,51871,0,0,141
314,Asus,2 in 1 Convertible,Other Intel Processor,2,Intel HD,Windows 10,1.1,30415,1,0,135
315,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.33,93346,0,0,141
316,HP,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.29,270859,1,1,331
317,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Other Os_system,1.45,50765,0,0,118
318,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.95,108388,0,0,157
319,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.4,53641,0,0,135
320,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,142895,0,0,157
321,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.79,65143,0,0,106
322,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2,120996,0,0,157
323,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.1,99761,0,1,100
324,Acer,Notebook,AMD-A-Series,8,AMD Radeon,Windows 10,2.2,72885,0,0,100
325,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,32295,0,0,112
326,Acer,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.23,60719,0,0,100
327,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,116019,0,0,141
328,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.26,147651,0,0,176
329,Dell,Notebook,Intel Core i7,32,Nvidia GeForce,Windows 10,2.06,291873,1,0,282
330,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,132609,0,0,127
331,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,104295,0,1,141
332,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2,147540,0,0,157
333,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,49659,0,0,141
334,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,110489,0,0,141
335,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.48,140240,0,0,157
336,Dell,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.9,116019,0,1,141
337,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.84,126526,0,0,141
338,Asus,Notebook,Other Intel Processor,4,Intel HD,Other Os_system,2,30304,0,0,100
339,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2,126305,0,0,141
340,Dell,Notebook,Other Intel Processor,4,Intel HD,Other Os_system,2.2,30304,0,0,100
341,Lenovo,Notebook,AMD-A-Series,12,AMD Radeon,Windows 10,2.2,99429,0,0,141
342,HP,Notebook,Intel Core i3,8,Nvidia GeForce,Windows 10,2.1,79189,0,1,141
343,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.4,232149,1,1,317
344,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,174637,0,0,166
345,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,124867,0,1,141
346,HP,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.44,30857,0,0,112
347,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.88,177734,0,0,141
348,Asus,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.5,41475,1,0,135
349,Dell,Ultrabook,Intel Core i5,8,AMD Radeon,Windows 10,1.9,73327,0,0,141
350,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,224186,1,0,282
351,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.84,144222,0,0,141
352,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,155835,0,0,127
353,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.6,192222,0,0,141
354,Toshiba,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,155171,0,1,141
355,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,107282,0,0,141
356,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,35502,0,0,100
357,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,110489,0,0,141
358,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.36,61604,1,0,100
359,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.36,157826,0,0,157
360,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,48553,0,0,100
361,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2,104517,0,0,157
362,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,79521,0,0,106
363,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,70673,0,0,141
364,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,55189,0,0,100
365,HP,Notebook,Other Intel Processor,8,Intel HD,Windows 10,2.04,43023,0,0,100
366,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,120001,0,0,127
367,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,89475,0,1,141
368,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.33,99429,0,0,141
369,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,193550,0,1,157
370,Asus,2 in 1 Convertible,Intel Core i7,12,Nvidia GeForce,Windows 10,2.26,121549,1,0,141
371,Acer,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.1,47115,0,0,100
372,Asus,Gaming,AMD-Rysen-Series,16,AMD Radeon,Windows 10,3.25,243209,0,1,127
373,Lenovo,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.6,54083,0,0,106
374,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,96111,1,0,166
375,HP,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,1.91,53972,0,0,141
376,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.59,61161,0,1,135
377,Dell,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.8,34175,0,0,100
378,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.5,31631,0,0,112
379,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Other Os_system,2.4,93567,0,0,141
380,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.35,131724,0,1,127
381,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,1.85,44571,0,0,141
382,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.3,183043,0,1,141
383,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.5,121549,0,1,157
384,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.1,193328,1,0,166
385,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.13,252389,0,1,210
386,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.5,60719,0,1,166
387,Dell,Workstation,Intel Core i5,8,AMD FirePro,Windows 10,2.23,151411,0,0,141
388,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2,236131,0,1,141
389,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,277495,1,0,210
390,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3,114913,0,0,127
391,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3,175964,0,0,127
392,Acer,Notebook,Intel Core i5,12,Nvidia GeForce,Windows 10,2.2,76645,0,1,100
393,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,149199,0,0,127
394,Dell,Notebook,Intel Core i7,8,AMD Radeon,Other Os_system,2.33,86046,0,0,141
395,HP,Ultrabook,AMD-A-Series,4,AMD Radeon,Windows 10,1.91,55189,0,0,141
396,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.1,135927,0,1,141
397,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,103742,0,1,157
398,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,299947,1,0,282
399,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.13,290325,0,1,210
400,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,33843,0,0,100
401,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,169107,0,0,127
402,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.1,126526,0,1,141
403,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Other Os_system,2.5,97217,0,0,141
404,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,248739,0,0,127
405,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.10,207153,0,0,157
406,Toshiba,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.2,193218,0,0,166
407,Dell,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,185808,0,0,157
408,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.2,45235,0,0,141
409,Lenovo,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.15,33622,0,0,135
410,Lenovo,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,212905,0,0,141
411,Lenovo,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,214895,0,1,210
412,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.1,51871,0,0,141
413,Acer,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.6,87263,1,1,166
414,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.27,102636,1,1,166
415,Dell,Notebook,Intel Core i5,4,AMD Radeon,Other Os_system,2.3,66138,0,0,141
416,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.65,76203,0,0,118
417,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.43,165900,0,0,157
418,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.14,59613,0,0,100
419,Lenovo,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.75,134379,0,1,157
420,Lenovo,2 in 1 Convertible,Intel Core i7,16,Nvidia GeForce,Windows 10,2,210029,1,1,282
421,Chuwi,Notebook,Other Intel Processor,6,Intel HD,Windows 10,1.4,49659,0,1,267
422,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.31,157826,0,0,141
423,Asus,Notebook,Intel Core i3,8,Nvidia GeForce,Other Os_system,2.3,66028,0,0,141
424,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,309569,0,1,170
425,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,128185,0,1,141
426,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,126305,0,0,141
427,Dell,Ultrabook,Intel Core i7,8,Intel HD,Other Os_system,1.6,121549,0,0,157
428,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.35,221089,0,0,127
429,Mediacom,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.16,33069,1,1,190
430,Samsung,Netbook,Other Intel Processor,4,Intel HD,Other Os_system,1.15,29751,0,0,135
431,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.4,111706,0,1,166
432,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.7,66249,0,1,157
433,Lenovo,Workstation,Intel Core i7,16,Nvidia GeForce,Windows 10,2.3,270417,0,1,282
434,Lenovo,Notebook,Intel Core i7,16,Nvidia Quadro,Windows 10,2.5,270859,0,0,141
435,Asus,Gaming,AMD-Rysen-Series,8,AMD Radeon,Windows 10,3.2,187467,0,0,127
436,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,38378,0,0,100
437,Google,Ultrabook,Intel Core i7,16,Intel HD,Other Os_system,1.1,243209,1,0,235
438,Lenovo,Ultrabook,Intel Core i7,24,Intel HD,Windows 10,1.32,263449,0,0,210
439,Asus,Notebook,Intel Core i5,4,Intel HD,Other Os_system,2,61825,0,0,141
440,Lenovo,Notebook,AMD-A-Series,8,AMD Radeon,Windows 10,2.8,57401,0,0,106
441,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.2,82839,0,0,141
442,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.36,158047,0,1,176
443,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,38599,0,0,141
444,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,121549,0,1,141
445,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.64,130397,0,0,157
446,Acer,Notebook,Intel Core i5,4,Intel HD,Other Os_system,2.4,48774,0,0,100
447,Dell,Workstation,Other Intel Processor,8,Nvidia Quadro,Windows 10,2.23,220425,0,0,141
448,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,113586,0,0,141
449,Microsoft,Ultrabook,Intel Core i7,16,Intel Iris,Windows 10,1.25,286343,1,0,201
450,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.91,65143,0,0,100
451,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,218435,0,1,141
452,HP,Workstation,Intel Core i7,8,Intel HD,Windows 10,2.31,169660,0,1,141
453,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.65,148757,0,0,157
454,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.36,108277,0,0,141
455,Dell,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.47,52977,1,0,135
456,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,4.42,226287,0,1,127
457,Microsoft,Ultrabook,Other Intel Processor,4,Intel HD,Windows 10,1.252,109383,1,0,201
458,Microsoft,Ultrabook,Intel Core i7,8,Intel Iris,Windows 10,1.25,198969,1,0,201
459,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.5,70673,0,0,106
460,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.23,60166,0,0,141
461,Acer,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.4,48111,0,0,135
462,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.37,82839,0,0,141
463,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,No OS,1.5,88369,0,1,157
464,Lenovo,Notebook,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,231154,0,0,141
465,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2,33622,0,0,100
466,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,51871,0,0,100
467,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.02,83945,0,0,141
468,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.78,187909,0,1,127
469,Lenovo,Ultrabook,Intel Core i7,12,Intel HD,Windows 10,1.4,205494,0,1,210
470,HP,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.29,221089,1,1,331
471,HP,Notebook,Intel Core i5,8,AMD FirePro,Windows 10,1.9,127632,0,0,141
472,Google,Ultrabook,Intel Core i5,8,Intel HD,Other Os_system,1.1,141015,1,0,235
473,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.42,203614,1,0,166
474,Asus,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.06,143669,0,1,282
475,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.79,81844,0,0,112
476,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,266324,0,0,141
477,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.7,150858,0,0,157
478,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,74655,0,0,141
479,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.05,184923,0,1,166
480,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,139577,0,1,141
481,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.18,64811,0,0,100
482,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,80295,0,1,166
483,Chuwi,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.89,27428,0,0,141
484,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,62489,0,0,100
485,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.75,116019,0,1,157
486,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,258582,0,1,141
487,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,210029,0,0,141
488,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.36,198858,0,1,176
489,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,0.91,215670,0,0,176
490,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,111816,0,1,141
491,Toshiba,Ultrabook,Intel Core i7,32,Intel HD,Windows 10,1.05,309569,1,0,166
492,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,1.99,149310,0,0,141
493,Acer,Notebook,AMD-A-Series,8,AMD Radeon,Windows 10,2.2,64037,0,0,100
494,Asus,Gaming,Intel Core i7,24,Nvidia GeForce,Windows 10,4.33,140351,1,1,127
495,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.3,121549,0,1,125
496,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.17,99318,0,0,141
497,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,193439,0,0,157
498,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.4,104959,0,1,166
499,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.3,100756,0,1,141
500,Asus,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.2,37604,0,0,135
501,HP,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.91,68350,0,0,100
502,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.4,176849,1,1,158
503,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,33069,0,0,112
504,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Other Os_system,1.25,29309,0,0,135
505,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.44,104959,0,0,166
506,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2,135374,0,0,141
507,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.2,67797,0,1,141
508,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.34,146323,0,1,166
509,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,127079,0,1,141
510,Dell,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.29,99429,1,1,166
511,Acer,Notebook,Intel Core i7,4,Nvidia GeForce,Windows 10,2.2,70673,0,0,141
512,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.18,92461,0,0,141
513,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.2,134821,0,0,141
514,Xiaomi,Notebook,Intel Core i7,16,Nvidia GeForce,No OS,1.95,154729,0,1,141
515,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows 10,1.1,27097,0,0,135
516,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,2.04,57622,1,0,100
517,Asus,Gaming,Intel Core i7,24,Nvidia GeForce,Windows 10,2.24,328260,0,0,141
518,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.04,98323,0,0,141
519,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3,166342,0,0,127
520,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.2,154729,0,1,141
521,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.32,154729,0,1,166
522,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.64,141457,0,0,157
523,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.63,76203,0,0,100
524,Dell,Notebook,Intel Core i5,8,AMD Radeon,Other Os_system,2.8,98323,0,1,127
525,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 7,2.02,148204,0,0,157
526,Lenovo,Notebook,Intel Core i7,4,Nvidia GeForce,Windows 10,2.2,88369,0,0,141
527,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,50765,0,0,100
528,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.3,64701,0,0,141
529,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,152296,0,0,141
530,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,333127,0,1,127
531,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,95116,0,1,141
532,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2,143669,0,1,282
533,Mediacom,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.2,40811,0,1,166
534,Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,182379,0,1,141
535,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.93,151411,0,0,141
536,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,88148,0,0,141
537,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.86,44018,0,0,141
538,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,2.62,198969,0,0,127
539,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.87,95005,0,1,157
540,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,154729,1,0,276
541,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.6,81291,0,0,157
542,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.34,126637,0,1,276
543,Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Other Os_system,2.4,88258,0,0,141
544,Asus,Notebook,AMD-E-Series,4,AMD Radeon,Windows 10,2,38599,0,0,100
545,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,77973,0,0,141
546,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.87,86821,0,0,157
547,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.15,51097,0,0,141
548,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,43908,0,0,141
549,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.99,191227,0,1,141
550,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.2,55189,0,0,141
551,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,123429,0,0,141
552,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,298509,0,1,127
553,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.65,60166,0,0,106
554,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.63,141568,0,0,127
555,Asus,Notebook,Other Intel Processor,4,Intel HD,Other Os_system,2,24774,0,0,100
556,Mediacom,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.35,28203,0,1,166
557,Lenovo,Notebook,Intel Core i7,6,Nvidia GeForce,Windows 10,2.8,104959,0,0,106
558,HP,Notebook,AMD-A-Series,6,AMD Radeon,Windows 10,1.91,62820,0,1,141
559,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.18,68240,0,0,100
560,Acer,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.25,38599,1,1,190
561,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.05,69678,0,0,141
562,HP,Ultrabook,Other Intel Processor,16,Intel HD,Windows 10,1.16,217329,1,1,276
563,Lenovo,Notebook,Intel Core i7,8,Nvidia Quadro,Windows 10,3.4,331689,0,1,127
564,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,92793,0,0,141
565,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.21,176849,1,1,331
566,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.93,106065,0,0,100
567,Fujitsu,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.2,81733,0,0,100
568,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,38046,0,0,141
